adulteration,making unpure; poorer in quality
superimpose,put something on the top
foolproof,incapable of failure or error
arrogance,proud; superior manner of behaviour
redeem,get back by payment compensate
eloquence,fluent speaking skillful use of language
conceal,hide keep secret
renowned,celebrated; famous
abysmal,extreme bad
fleet,number of ships; quick-moving
grievous,causing grief or pain; serious dire grave
dangle,hand or swing loosely
apt,well-suited; quick-witted
recitals,a number of performance of music
apartheid,brutal racial discrimination
garrulous,too talkative
eradicate,get rid of pull up by the roots
ingest,take in by swallowing
abhor,to hate; to detest
misanthrope,person who hates mankind
mischievous,harmful; causing mischief
writ,written order
endeavor,to make an effort, to try very hard"
impermeable,that cannot be permeated
clientele,customers
limp,lacking strength; walking unevenly
console,give comfort or sympathy to
sophisticated,complex; subtle; refined
connoisseur,a person with good judgement (e.g.. in art)
cordial,warm and sincere
sheath,cover for the blade of a weapon or a tool
euphoria,elation state of pleasant excitement
vigorous,strong energetic
offhand,Without preparation or forethought
moribund,in a dying state; near death
infuriate,fill with fury or rage
meticulous,giving great attention to details
jabber,talk excitedly; utter rapidly
warrant,authority written order guarantee
benefactor,person who has given help
reconcile,settle a quarrel restore peace
relapse,fall back again
torque,twisting force causing rotation
brass,yellow metal (mixing copper and zinc)
malleable,yielding easily shaped; moldable; adapting
liberality,free giving; generosity
appease,make quiet or calm
sluggard,lazy slow-moving person
indulgent,inclined to indulge
impromptu,without preparation
gullible,easily gulled
lampoon,publicly mock or ridicule
alleviate,make (pain) easier to bear
commemorate,keep the memory of
alloy,to debase by mixing with something inferior
strive,to make great efforts, to struggle"
turmoil,trouble disturbance
tonic,something giving strength or energy
solvent,of the power of forming a solution
fragrant,sweet-smelling
arcane,known or understood by very few
cumbersome,burdensome; heavy and awkward to carry
engulf,swallow up
refine,make or become pure cultural
implicit,implied though; not plainly expressed
gait,a manner of walking, stepping, or running"
coagulation,change to a thick and solid state
scent,smell (especially pleasant)
premature,doing or happening something before the right time
disallow,refuse to allow or accept as a correct
catalyst,substance that causes speeding up
flimsy,lacking solidarity, strength"
forgery,counterfeit
articulate,speak distinctly; connect by joints
grumble,to complain
partisan,one-sided committed to a party biased or prejudiced
immutable,that cannot be changed
extinguish,end the existence of/wipe or put out
cryptic,secret with a hidden meaning
reiterate,say or do again several times
dote,show much fondness center one's attention
correlate,have a mutual relation
erratic,irregular in behaviour or opinion
inclined,directing the mind in a certain direction
yeoman,man owning small estate; middle-class farmer
abide,be faithful; to endure
retrograde,receding
evoke,call up bring out
edible,fit to be eaten/not poisonous
dupe,cheat make a fool of
mite,A very small amount, portion, or particle"
spear,weapon with a metal point on a long shaft
extralegal,outside the law
sequence,succession connected line of
hospitable,liking to give hospitality
ossified,turned to bone; hardened like bone; Inflexible
evasive,tending to evade
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
flop,fail/move/fall clumsily
curriculum,course of study
poseur,a person who attempts to impress by acting unlike himself
fragile,easily injured broken or destroyed
perjury,willful FALSE statement unlawful act
audacious,Bold
amalgamate,mix; combine; unite societies
asterisk,the mark * (e.g.. omitted letters)
brittle,easily broken
enduring,lasting
volatile,changeable inconstant fickle unstable explosive
succumb,yield, die"
connote,Suggest or imply in addition to the precise, literal meaning"
colloquial,involving or using conversation.
acclaimed,welcomed with shouts and approval
implosion,collapse; bursting inward
calipers,metal supports attached to the legs measuring instrument
stride,walk with long steps
sawdust,tiny bits of wood
derivative,unoriginal; obtained from another source
aberration,straying away from what is normal
riddle,puzzling person or thing
